,mae_name,C,gamma,tol,eps,mae
218,SVR_0.0005_0.001_1.0_0.001,0.0005,0.001,1.0,0.001,9544311.612733364
219,SVR_0.0005_0.001_1.0_0.01,0.0005,0.001,1.0,0.01,9544311.612733364
220,SVR_0.0005_0.001_1.0_0.1,0.0005,0.001,1.0,0.1,9544311.612733364
221,SVR_0.0005_0.001_1.0_1.0,0.0005,0.001,1.0,1.0,9544311.612733364
222,SVR_0.0005_0.001_1.0_10.0,0.0005,0.001,1.0,10.0,9544311.612733364
223,SVR_0.0005_0.001_1.0_100.0,0.0005,0.001,1.0,100.0,9544311.612733375
224,SVR_0.0005_0.001_10.0_1e-05,0.0005,0.001,10.0,1e-05,9544311.612733364
225,SVR_0.0005_0.001_10.0_0.0001,0.0005,0.001,10.0,0.0001,9544311.612733364
226,SVR_0.0005_0.001_10.0_0.001,0.0005,0.001,10.0,0.001,9544311.612733364
227,SVR_0.0005_0.001_10.0_0.01,0.0005,0.001,10.0,0.01,9544311.612733364
228,SVR_0.0005_0.001_10.0_0.1,0.0005,0.001,10.0,0.1,9544311.612733364
229,SVR_0.0005_0.001_10.0_1.0,0.0005,0.001,10.0,1.0,9544311.612733364
230,SVR_0.0005_0.001_10.0_10.0,0.0005,0.001,10.0,10.0,9544311.612733364
231,SVR_0.0005_0.001_10.0_100.0,0.0005,0.001,10.0,100.0,9544311.612733379
232,SVR_0.0005_0.001_100.0_1e-05,0.0005,0.001,100.0,1e-05,9544311.612733364
233,SVR_0.0005_0.001_100.0_0.0001,0.0005,0.001,100.0,0.0001,9544311.612733364
234,SVR_0.0005_0.001_100.0_0.001,0.0005,0.001,100.0,0.001,9544311.612733364
235,SVR_0.0005_0.001_100.0_0.01,0.0005,0.001,100.0,0.01,9544311.612733364
236,SVR_0.0005_0.001_100.0_0.1,0.0005,0.001,100.0,0.1,9544311.612733364
237,SVR_0.0005_0.001_100.0_1.0,0.0005,0.001,100.0,1.0,9544311.612733364
238,SVR_0.0005_0.001_100.0_10.0,0.0005,0.001,100.0,10.0,9544311.612733364
239,SVR_0.0005_0.001_100.0_100.0,0.0005,0.001,100.0,100.0,9544335.612733388
240,SVR_0.0005_0.01_1e-07_1e-05,0.0005,0.01,1e-07,1e-05,9544311.612733006
241,SVR_0.0005_0.01_1e-07_0.0001,0.0005,0.01,1e-07,0.0001,9544311.612733006
242,SVR_0.0005_0.01_1e-07_0.001,0.0005,0.01,1e-07,0.001,9544311.612733006
243,SVR_0.0005_0.01_1e-07_0.01,0.0005,0.01,1e-07,0.01,9544311.612733006
244,SVR_0.0005_0.01_1e-07_0.1,0.0005,0.01,1e-07,0.1,9544311.612733006
245,SVR_0.0005_0.01_1e-07_1.0,0.0005,0.01,1e-07,1.0,9544311.612733006
246,SVR_0.0005_0.01_1e-07_10.0,0.0005,0.01,1e-07,10.0,9544311.612733006
247,SVR_0.0005_0.01_1e-07_100.0,0.0005,0.01,1e-07,100.0,9544311.612733074
248,SVR_0.0005_0.01_1e-06_1e-05,0.0005,0.01,1e-06,1e-05,9544311.612733006
249,SVR_0.0005_0.01_1e-06_0.0001,0.0005,0.01,1e-06,0.0001,9544311.612733006
250,SVR_0.0005_0.01_1e-06_0.001,0.0005,0.01,1e-06,0.001,9544311.612733006
251,SVR_0.0005_0.01_1e-06_0.01,0.0005,0.01,1e-06,0.01,9544311.612733006
252,SVR_0.0005_0.01_1e-06_0.1,0.0005,0.01,1e-06,0.1,9544311.612733006
253,SVR_0.0005_0.01_1e-06_1.0,0.0005,0.01,1e-06,1.0,9544311.612733006
254,SVR_0.0005_0.01_1e-06_10.0,0.0005,0.01,1e-06,10.0,9544311.612733006
255,SVR_0.0005_0.01_1e-06_100.0,0.0005,0.01,1e-06,100.0,9544311.612733074
256,SVR_0.0005_0.01_9.999999999999999e-06_1e-05,0.0005,0.01,9.999999999999999e-06,1e-05,9544311.612733006
257,SVR_0.0005_0.01_9.999999999999999e-06_0.0001,0.0005,0.01,9.999999999999999e-06,0.0001,9544311.612733006
258,SVR_0.0005_0.01_9.999999999999999e-06_0.001,0.0005,0.01,9.999999999999999e-06,0.001,9544311.612733006
259,SVR_0.0005_0.01_9.999999999999999e-06_0.01,0.0005,0.01,9.999999999999999e-06,0.01,9544311.612733006
